by,descendants,id,score,text,time,title,type,url,domain
miletus,4,43457894,6,"I&#x27;m looking for ideas that have really high demand<p>for eg: For example: a customer service agent for a Shopify store, integrated with a RAG system and the customer database.<p>There are many such ideas. would love to hear your favorites.",1742792654,Ask HN: What are the best use cases for custom GPTs,story,,
lahcenassm,0,43449167,5,"We built URLDN to offer a free and powerful URL shortener with analytics, QR codes, and branded links. Unlike Bitly, it’s affordable and transparent for all users. Would love feedback from the community!",1742682603,Urldn – A Free URL Shortener with Tracking and QR Codes,story,,
morisil,9,43426449,9,"I started teaching agentic AI at our cooperative (Berlin). It is a one day intense workshop where I:<p>1. Introduce IntelliJ IDEA IDE and tools
2. Showcase my Unix-omnipotent educational open source AI agent called Claudine (which can basically do what Claude Code can do, but I already provided it in October 2024)
3. Go through glossary of AI-related terms
4. Explore demo code snippets gradually introducing more and more abstract concepts
5. Work together on ideas brought by participants<p>In theory attendees of the workshop should learn enough to be able to build an agent like Claudine themselves. During this workshop I am introducing my open source AI development stack (Kotlin multiplatform SDK, based on Anthropic API). Many examples are using OPENRNDR creative coding framework, which makes the whole process more playful. I&#x27;m OPENRNDR contributor and I often call it &quot;an operating system for media art installations&quot;. This is why the workshop is called &quot;Agentic AI &amp; Creative Coding&quot;. Here is the list of demos:<p>- Demo010HelloWorld.kt
- Demo015ResponseStreaming.kt
- Demo020Conversation.kt
- Demo030ConversationLoop.kt
- Demo040ToolsInTheHandsOfAi.kt
- Demo050OpenCallsExtractor.kt
- Demo061OcrKeyFinancialMetrics.kt
- Demo070PlayMusicFromNotes.kt
- Demo090ClaudeAiArtist.kt
- Demo090DrawOnMonaLisa.kt
- Demo100AffirmationMirror.kt
- Demo110TruthTerminal.kt
- Demo120AiAsComputationalArtist.kt<p>And I would like to extend it even further.<p>Each code example is annotated with &quot;What you will learn&quot; comments which I split into 3 categories:<p>- AI Dev: techniques, e.g. how to maintain token window, optimal prompt engineering
- Cognitive Science: philosophical and psychological underpinning, e.g. emergent theory of mind and reasoning, the importance of role-playing
- Kotlin: in this case the language is just the simplest possible vehicle for delivering other abstract AI development concepts.<p>I am collecting lots of feedback from participants of my workshops, and I hope to improve them even further. Now I am considering recording this workshop as a series of YouTube videos.<p>Are you teaching how to write AI agents? How do you do it? Do you have any recommendations for  my workshops?<p>https:&#x2F;&#x2F;xemantic.com&#x2F;ai&#x2F;workshops&#x2F;",1742492856,Ask HN: How to teach agentic AI? Please share your experience,story,,
techpineapple,13,43448327,5,"Whenever I read about the Industrial Revolution, there’s often an argument that you would want to unquestionably live after the Industrial Revolution, and that the loss of jobs and culture  that occurred is an easy trade off for the gains made after.<p>But I’m not so sure, there was this change from working jobs like being a blacksmith or other job where you learned skills and owned the lifecycle, contrasted with the types of soul crushing factory jobs that came after.<p>So in curious if there’s a certain time period that people look to and make an argument that the change wasn’t worth it.",1742674780,Ask HN: Would you make an argument for the peak of human progress?,story,,
taatparya,42,43444058,45,"I am observing at my company that junior programmers, who have been allowed to use AI for helping with their coding seem to be losing their coding skills and critical skills. However, the seniors have become slightly more productive.<p>What has been your experience and do you have any suggestion on how to use AI and can we evolve some guidelines for juniors.<p>Also, the mentoring and community ecosystem online as well as in juniors and seniors seems to be also taking a hit. Any suggestions how to sustain this? Wouldn&#x27;t want to lose the social connection juniors used to have with seniors because of this.",1742626475,Ask HN: How should junior programmers use and/or not use AI for programming?,story,,
c7THEC2DDFVV2V,28,43431989,21,"Its been a year of searching, a handful of interviews at best, recent interviews have had disinterested interviewers reading a script and not listening to answers.<p>Having worked and consulted over the past decade, I just don&#x27;t understsnd how broken things are.<p>how are people surviving in this environment, I feel being pushed to the edge and ready to snap.",1742533349,UK IT job searching broken,story,,
soundworlds,0,43418388,16,"Hey all,<p>I just released minimal_worlds_ii (https:&#x2F;&#x2F;johnoestmannmusic.com&#x2F;albums&#x2F;) - an album of Game Boy music made entirely with Furnace Tracker (https:&#x2F;&#x2F;github.com&#x2F;tildearrow&#x2F;furnace). All project files are available through the individual track pages, and all music files are Public Domain &#x2F; CC0!<p>If you do like what you hear, worth knowing all other albums on that page are Public Domain, and all of the recent ones also have their source projects available (basically since I got really into FOSS and started structuring my projects in a way that could be easily shared)<p>Cheers :)",1742427288,I released an open-source album of Game Boy music [link in body],story,,
mothhabit,19,43414821,27,"One of the most publicized advantages of contributing to open-source projects are the (supposed) better odds at landing jobs. I think that people shouldn&#x27;t be contributing to open-source just to land better jobs and then forget it, but I ask myself if that premise is true in the first place.<p>Have you ever been hired because of some open-source contribution? Or do you know someone who was?",1742404995,Ask HN: Have you ever been hired because of open-source contributions?,story,,
retzkek,1,43426694,8,"Five years ago we were all forced to take in-person events online, where technology was not quite up to the task. We are facing another situation now where international travel is not safe for many people.<p>What new tools are there for facilitating virtual-only conferences and meetings? Has anyone solved&#x2F;made progress on the &quot;hallway conversation&quot; problem? Any exciting startups in this space?",1742493775,Ask HN: What new tools are there for facilitating virtual conferences?,story,,
ionwake,7,43433538,18,"When Musk used actors in robot suits or demoed remote-controlled robots without admitting they weren’t real, I was genuinely confused. As a Brit, I wonder—is this just accepted in the U.S. as harmless fun, even if it&#x27;s misleading?<p>It’s like those American sports halftime shows where “random” crowd members do weird things, but they’re clearly actors. Most people don’t notice, and those who do don’t seem to care.<p>In Europe, that kind of deception feels like a red flag. We expect clear boundaries: either something’s a concept, a prototype, or a finished product. Pretending it’s real erodes trust.<p>TL;DR:
Is American marketing more comfortable with blurring reality, while European marketing prioritizes transparency?",1742549226,Ask HN: Nvidia pretended their robot was not remote controlled – why?,story,,
tmaly,37,43401138,21,A while back I was looking for a vector database that would work across Windows &#x2F; Mac &#x2F; Linux platforms.  Some of the options required specific processors like Intel.  I am curious if there are any alternatives to a Vector DB that can run cross platform and are easy to setup?,1742314444,Ask HN: Alternatives to Vector DB?,story,,
mertleee,4,43454709,14,"I&#x27;ve done startups most of my 20s.<p>Currently at a well known accelerator - but I feel like I can&#x27;t really take the valley seriously anymore.<p>Nearing 30, I don&#x27;t have much to show for my one partial startup exit.  I feel like I want something more, but idk if it&#x27;s even in software.<p>My gut lead me here, not sure where to go next.<p>A &#x27;normal&#x27; job would be nice, but not sure if I can even snag one of those these days with the current market.<p>I haven&#x27;t really made significant financial progress in the past two years - but still seem motivated to find something larger.<p>Any of you experience this?  At 30 seems like I should really move on from flash-in-the-pan startups and maybe work on more meaningful things?",1742754047,Ask HN: I feel I can no longer trust my gut,story,,
CaffeineLD50,11,43460123,7,"WFH has proven to be both popular and workable but no union effort has made it their one issue.<p>Unionizing involves a high likelihood of being (illegally) fired for exercising your legal right.<p>Would you risk being fired for the right to use collective bargaining for one benefit alone: the ability to WFH one&#x2F;some&#x2F;most&#x2F;all days of the week?<p>I, for one, would unionize for it. What say ye, you HN readers?<p>Yay or nay?",1742818748,Ask HN: Would You Unionize for WFH?,story,,
nicola_alessi,34,43397971,26,"Hi HN,
I’ve been thinking a lot about how broken product search is today. You type in a query, and the first page is just ads, SEO-optimized blogs, or fake reviews. It feels like the system is designed to waste our time rather than help us.<p>For example, I was searching for a decent pair of wireless headphones under $200. After an hour of scrolling through Google, Amazon, and forums, I found a thread on Reddit from 2019. Guess what? The recommended model was discontinued.<p>This made me wonder:<p>Why are we still stuck with ads and fake reviews?
Why hasn’t anyone built a better solution?
What would your ideal product search engine look like?<p>I’ve been exploring some tools that claim to solve these issues, but I’m curious to hear how you handle it. Do you have any tips, tools, or tricks to share? Let’s discuss!",1742295871,Is Product Search Broken? Why Are We Still Stuck with Ads and Fake Reviews?,story,,
pyeri,29,43451205,19,"Classical Economics says that in the long run, it&#x27;s impossible to defy full-employment or saturate any market, <i>Lassez Faire</i> or free trade is quite the norm. Needless to say, the classical framework is based on some rational assumptions like no entry barriers to competition, free flow of information, rational actors who act in their own interest, etc. And yet, given these basic assumptions, the market indeed seemed to work that way for decades and centuries. And most global markets too, not just the freelance market.<p>The phenomenon of a &quot;long term recession&quot; or &quot;long term saturation&quot; is an unprecedented one and happening for the first time in history. From the news I read and watch, this seems to be happening in almost all sectors but freelancing is what affecting me directly. While short-term corrections of excesses and anomalies have indeed affected economic activity in the past (like world wars) but these aren&#x27;t such exceptional times. The broader narrative is one of increasing prosperity, GDP output and stock market profitability all over, yet the middle class struggles more and more to find every morsel to feed their hunger.<p>Coming back to Upwork, a massive entry-barrier in the form of having to purchase connects is itself a problematic symptom. This indicates that supply&#x2F;demand ratio is heavily tilted in favor of clients; again, this should self-correct itself in a rational market given the classical assumptions but it has carried on for several years now.<p>Another reason for an unhealthy supply&#x2F;demand ratio is &quot;brandification&quot; of things which is a symptom of excessive consumerism. This isn&#x27;t about just freelancing but the increasing cynicism and lack of trust of humans towards one another. Humans have lost empathy towards fellow human, they&#x27;d rather trust a Dominos or McDonalds than the little guy cooking French Fries or Samosas in the basement. They&#x27;d rather trust an Infosys or Tech Mahindra than the little freelancer who is struggling to make a living.<p>And from their perspective, they could be right. Apple can give them 24x7 support which I can&#x27;t, the most I can do is respond to emails or messages within a specified time. There is also the human limitation of how much Coding, Testing, Deployment and Support a single individual freelancer could provide. Does it mean the age of individual freelancers is finally coming to an end, and only big businesses and agencies will eventually thrive?<p>The only way I can see real revival of freelancing as career option happening is if society at large wakes up from its usual cynical blue-pilled bubble, and starts having some faith in fellow homo sapiens like them, not just abstract entities like brands, gpts and platforms.<p>Have a nice day ahead, and may the Logos bless everyone!",1742711230,It is practically impossible to find a freelance project these days,story,,
rydensun,20,43457471,8,"Hacker News has been around for years, but its UI feels stuck in the past. It’s not user-friendly, and the readability is quite poor compared to modern platforms.
Every time I use it, I suffer.<p>Why hasn’t this been improved? Is it a deliberate choice to keep things minimal, or is it simply not a priority?",1742784734,Why is Hacker News still keep this hard-to-use UI and has such poor readability?,story,,
stephantul,6,43416499,6,"Hello HN,<p>Recently, I&#x27;ve been massively enjoying diving into type checkers and how to effectively use them (mostly in Python).<p>I lack foundational knowledge about the topic (I never studied CS), however, so I am looking for introductory textbooks&#x2F;blogs&#x2F;resources on the topic.<p>More specifically: I see terms being thrown around like &quot;Algebraic sum type&quot;, &quot;covariant&quot;, &quot;contravariant&quot;, and I would like to understand more about what they mean and imply in a practical sense.<p>Thanks!",1742413574,Ask HN: Favourite resources for learning programming type theory?,story,,
speakfreely,7,43457402,4,"I&#x27;m assuming the landscape for this has changed a bit since generative AI has blossomed.  I know you can grab some premade landing page templates from Tailwind and other UI libraries, but how would you put it together and host it somewhere?  What&#x27;s the &quot;modern&quot; solution for a quick and easy way to generate a nice looking &quot;coming soon&quot; product page?",1742782994,Ask HN: What's the quickest way to build a landing page?,story,,
hedayet,11,43406812,9,"I&#x27;m getting fed up with Apple and Google controlling everything through their app stores. The fees are ridiculous, their policies are frustrating, and the platform limitations just keep piling up.<p>I&#x27;ve looked into PWAs and web native apps as alternatives, but they still can&#x27;t do everything a native app can - especially on iOS where Apple conveniently restricts things like push notifications for web apps.<p>And don&#x27;t even get me started on building for Facebook(Good thing is we were able to remove Facebook signin as less than 2% of our users were using it - lol) . Any  support is practically non-existent, and they change their APIs without warning, and their policy enforcement feels completely random. I&#x27;ve seen too many developers get their apps suddenly banned with vague error messages, then get stuck in endless loops with their useless review process (and no support team!)<p>Is anyone successfully building outside these walled gardens? What are the biggest obstacles, and how do we push the web (or something else) forward as a true alternative? Would love to hear your experiences.",1742342960,Ask HN: Anyone else ready to ditch app stores and Facebook's ecosystem?,story,,
