by,descendants,id,score,time,title,type,url,text,domain
spruce_tips,2,43635843,3,1744224150,Ask HN: Strategies or tools for embedding multiple file types?,story,,"I&#x27;ve worked a good bit with embedding strategies for RAG. But they&#x27;ve only been for documents that are identical in structure i.e. interview transcripts.<p>I&#x27;m curious how others have thought about handling embeddings for multiple file types (txt, pdf, image, docx, ppt, etc.)? Obviously, I could handle each file type individually and then build a flexible search layer on top, but I&#x27;m concerned about the level of maintenance required.<p>One idea I had was to build a translation layer of sorts that would take some arbitrary file type in, map it onto a standardized text schema, and embed that. For images (which are much less common in my dataset), I would use an LLM to describe the image and cast that text into my standard format. The standard format would allow me to simplify the chunking and embedding logic for each file type, and make the vector search layer a lot easier to maintain.<p>I know this won&#x27;t be perfect, but I think it could solve most of what I&#x27;m trying to achieve.<p>---<p>Curious what others think about this and what you have tried.<p>Cheers,<p>spruce_tips",
like_any_other,0,43635837,3,1744224133,Bitchute Blocks UK Due to Online Safety Act,story,https://www.bitchute.com/ukregulation,,bitchute.com
PaulHoule,0,43635831,1,1744224124,Does listening change minds? New study challenges common assumptions,story,https://phys.org/news/2025-04-minds-common-assumptions.html,,phys.org
atlasunshrugged,0,43635824,1,1744224101,Learning from the Legacy of 18F,story,https://www.lawfaremedia.org/article/learning-from-the-legacy-of-18f,,lawfaremedia.org
gnabgib,0,43635811,2,1744224048,New treatments to put insomnia to bed,story,https://www.nature.com/articles/d41586-025-00963-x,,nature.com
lawn,0,43635808,4,1744224022,Framework Laptop 12 pre-orders are now open,story,https://frame.work/nl/en/blog/framework-laptop-12-pre-orders-are-now-open,,frame.work
geox,0,43635803,1,1744224000,Isaacman says NASA should pursue human moon and Mars programs simultaneously,story,https://spacenews.com/isaacman-says-nasa-should-pursue-human-moon-and-mars-programs-simultaneously/,,spacenews.com
susam,0,43635802,1,1744224000,Deadline 2037: The Making of the Next Oxford English Dictionary (2014),story,https://www.irishtimes.com/culture/deadline-2037-the-making-of-the-next-oxford-english-dictionary-1.1667328,,irishtimes.com
sumitkumar,1,43635783,1,1744223943,Firebase Studio,story,https://firebase.studio,,firebase.studio
breadwinner,0,43635712,2,1744223684,Amazon Kuiper launches first satellites to take on SpaceX's Starlink,story,https://www.cnbc.com/2025/04/09/amazon-kuiper-launches-first-satellites-takes-on-elon-musks-starlink.html,,cnbc.com
jgalvez,0,43635574,1,1744223178,Fastify and React Is 7x Faster Than Next.js,story,https://hire.jonasgalvez.com.br/2025/apr/9/fastify-speed/#hn,,hire.jonasgalvez.com.br
super_ar,0,43635569,2,1744223171,ClickHouse Denormalization is not the answer to slow JOINs,story,https://www.glassflow.dev/blog/denormalization-clickhouse,,glassflow.dev
predogger,1,43635556,1,1744223127,MCP Marketplaces are the next big thing,story,https://www.gardinercolin.com/p/marketplace-memo-9,,gardinercolin.com
01-_-,0,43635527,2,1744223023,Dr. Oz Pushed for AI Health Care in First Medicare Agency Town Hall,story,https://www.wired.com/story/dr-oz-ai-health-care-medicare-cms-town-hall/,,wired.com
gmays,0,43635489,2,1744222866,Brain-to-voice neuroprosthesis restores naturalistic speech,story,https://engineering.berkeley.edu/news/2025/03/brain-to-voice-neuroprosthesis-restores-naturalistic-speech/,,engineering.berkeley.edu
andrewtdop,0,43635472,1,1744222795,Abundance Is Surrender to Neoliberalism and Inequality,story,https://andrewvarsanyi.com/abundance-is-a-surrender-to-neoliberalism-and-inequality/,,andrewvarsanyi.com
itfourall,4,43635460,5,1744222753,MapStructur – Self-hosted map editor with draggable markers and Docker support,story,https://itfourall.com/mapstruct.php,,itfourall.com
ioblomov,1,43635445,1,1744222691,Safe Havens May Not Be,story,https://www.bloomberg.com/opinion/newsletters/2025-04-09/save-havens-may-not-be,,bloomberg.com
